INTEREST,Distance(KM),Travel Time(Min),nearby_places,Title,url,p_rating,count,itemId,Unique GENRE,UNIQUE INTEREST,Genre
"Adventureous ,Romantic",182.95km,151,NONE,"Sindbad Amusement Park, Faisalabad, PK",,1,123,278,,,Theme Parks
Romantic,184.03km,154.3666667,NONE,"Jinnah Gardens, Faisalabad, PK",,5,67,279,,,Gardens
Relaxation,173.14km,136.7833333,NONE,"Gatwala Wildlife Park, Faisalabad, PK",,3.9,412,280,,,Nature & Parks
"Relaxation,Romantic",145.96km,153.5,NONE,"Kohinoor One, Faisalabad, PK",,4.8,25,281,,,Shopping Malls
"Relaxation,Romantic",183.48km,153.4333333,NONE,"Abdulrehman resort, Faisalabad, PK",,3.5,654,282,,,Water & Amusement Parks
"Relaxation,Romantic",184.03km,154.3666667,NONE,"Jinnah Gardens, Faisalabad, PK",,2.9,134,283,,,Nature & Parks
"Relaxation,Romantic",146.76km,155.1,NONE,"Sitara Mall, Faisalabad, PK",,1.7,560,284,,,Shopping Malls
Historical Heritage,184.19km,154.5833333,NONE,"Sir Charles James Lyall Monument, Faisalabad, PK",,5,348,285,,,Monuments & Statues
"Adventureous ,Romantic",181.67km,147.8,NONE,"Aqua Land Water Park Majorca, Faisalabad, PK",,3.7,48,286,,,Water & Amusement Parks
Historical Heritage,184.59km,154.6166667,NONE,"Lyallpur Museum, Faisalabad, PK",,1.5,654,287,,,Museums
"Relaxation,Romantic",146.23km,153.6333333,NONE,"D Ground Park, Faisalabad, PK",,4.2,56,288,,,Nature & Parks
Historical Heritage,184.49km,155.8166667,NONE,"Clock Tower, Faisalabad, PK",,2.2,158,289,,,Points of Interest & Landmarks
"Relaxation,Romantic",148.21km,159.8666667,NONE,"Pahari Grounds, Faisalabad, PK",,4.6,652,290,,,Nature & Parks
Historical Heritage,176.79km,138.9166667,NONE,"University of Agriculture, Faisalabad, PK",,5,783,291,,,Sights & Landmarks
Historical Heritage,185.73km,158.35,NONE,"Government College University Faisalabad, Faisalabad, PK",,4.9,482,292,,,Sights & Landmarks
Historical Heritage,184.52km,154.5666667,NONE,"Gumti Water Fountain, Faisalabad, PK",,4.2,890,293,,,Monuments & Statues
"Adventureous ,Romantic",182.95km,151,NONE,"Sindbad Amusement Park, Faisalabad, PK",,1.9,656,294,,,Water & Amusement Parks
"Adventureous ,Romantic",182.95km,151,NONE,"Sindbad Amusement Park, Faisalabad, PK",,4.5,350,295,,,Theme Parks
Romantic,184.03km,154.3666667,NONE,"Jinnah Gardens, Faisalabad, PK",,2,700,296,,,Gardens
Relaxation,173.14km,136.7833333,NONE,"Gatwala Wildlife Park, Faisalabad, PK",,3.2,25,297,,,Nature & Parks
"Relaxation,Romantic",145.96km,153.5,NONE,"Kohinoor One, Faisalabad, PK",,5,345,298,,,Shopping Malls
"Relaxation,Romantic",183.48km,153.4333333,NONE,"Abdulrehman resort, Faisalabad, PK",,4.8,120,299,,,Water & Amusement Parks
"Relaxation,Romantic",184.03km,154.3666667,NONE,"Jinnah Gardens, Faisalabad, PK",,1.5,456,300,,,Nature & Parks
"Relaxation,Romantic",146.76km,155.1,NONE,"Sitara Mall, Faisalabad, PK",,3.5,990,301,,,Shopping Malls
Historical Heritage,184.19km,154.5833333,NONE,"Sir Charles James Lyall Monument, Faisalabad, PK",,4,222,302,,,Monuments & Statues
"Adventureous ,Romantic",181.67km,147.8,NONE,"Aqua Land Water Park Majorca, Faisalabad, PK",,1.5,43,303,,,Water & Amusement Parks
Historical Heritage,184.59km,154.6166667,NONE,"Lyallpur Museum, Faisalabad, PK",,4.2,678,304,,,Museums
"Relaxation,Romantic",146.23km,153.6333333,NONE,"D Ground Park, Faisalabad, PK",,2,789,305,,,Nature & Parks
Historical Heritage,184.49km,155.8166667,NONE,"Clock Tower, Faisalabad, PK",,3.2,567,306,,,Points of Interest & Landmarks
"Relaxation,Romantic",148.21km,159.8666667,NONE,"Pahari Grounds, Faisalabad, PK",,3.8,245,307,,,Nature & Parks
"Adventureous ,Relaxation,Romantic",383.03km,273.5666667,NONE,"Trail 6, Islamabad, PK",,4.5,890,308,,,Nature & Parks
Adventureous ,386.37km,289.8,NONE,"Shah Allah Ditta Caves, Islamabad, PK",,4.2,13,309,,,Nature & Parks
"Adventureous ,Relaxation,Romantic",382.85km,274.05,NONE,"Shakarpariyan Hills, Islamabad, PK",,1,123,310,,,Nature & Parks
Historical Heritage,380.92km,268.5666667,NONE,"Fatima Church, Islamabad, PK",,5,67,311,,,Sights & Landmarks
Adventureous ,385.9km,277.45,NONE,"Trail 3, Islamabad, PK",,3.9,412,312,,,Outdoor Activities
Historical Heritage,379.69km,267.4333333,NONE,"Pakistan monument, Islamabad, PK",,4.8,25,313,,,Sights & Landmarks
Historical Heritage,389.34km,283.6833333,NONE,"Quaid-i-Azam University, Islamabad, PK",,3.5,654,314,,,Sights & Landmarks
Historical Heritage,381.83km,269.3166667,NONE,"Lok Virsa Museum, Islamabad, PK",,2.9,134,315,,,Museums
"Adventureous ,Relaxation,Romantic",387.64km,281.6166667,NONE,"Daman-e-Koh, Islamabad, PK",,1.7,560,316,,,Sights & Landmarks
Historical Heritage,381.54km,268.75,NONE,"Pakistan Museum of Natural History, Islamabad, PK",,5,348,317,,,Museums
Relaxation,386.24km,279.8666667,NONE,"Bird Aviary, Islamabad, PK",,3.7,48,318,,,Nature & Parks
Adventureous ,414.09km,325.3833333,NONE,"Simly Dam, Islamabad, PK",,1.5,654,319,,,Nature & Parks
Historical Heritage,387.28km,285.5666667,NONE,"Bari Imam Shrine, Islamabad, PK",,4.2,56,320,,,Sights & Landmarks
"Relaxation,Romantic",386.29km,279.8333333,NONE,"Lake View Park, Islamabad, PK",,2.2,158,321,,,Nature & Parks
"Adventureous ,Romantic",383.15km,282.05,NONE,"Margalla Hills, Islamabad, PK",,4.6,652,322,,,Sights & Landmarks
Adventureous ,389.1km,289.2333333,NONE,"Trail 5, Islamabad, PK",,5,783,323,,,Outdoor Activities
Historical Heritage,382.53km,290.45,NONE,"Giga Mall, Islamabad, PK",,4.9,482,324,,,Shopping
"Relaxation,Romantic",387.39km,280.1833333,NONE,"Rawal Lake, Islamabad, PK",,4.2,890,325,,,Nature & Parks
"Relaxation,Romantic",388.57km,281.75,NONE,"Pir Sohawa, Islamabad, PK",,1.9,656,326,,,Nature & Parks
Historical Heritage,371.07km,261.45,NONE,"Pakistan Railways Heritage Museum, Islamabad, PK",,4.5,350,327,,,Museums
Historical Heritage,380.93km,270.9333333,NONE,"Pak China Friendship Center, Islamabad, PK",,2,700,328,,,Sights & Landmarks
Relaxation,398.2km,292.8666667,NONE,"Bahria Enclave Zoo, Islamabad, PK",,3.2,25,329,,,Zoos & Aquariums
Historical Heritage,383.22km,273.3666667,NONE,"Pakistan Monument Museum, Islamabad, PK",,5,345,330,,,Museums
Historical Heritage,382.89km,273.2833333,NONE,"Faisal Mosque, Islamabad, PK",,4.8,120,331,,,Sights & Landmarks
Relaxation,383.96km,273.7333333,NONE,"Islamabad Zoo, Islamabad, PK",,1.5,456,332,,,Nature & Parks
"Romantic,Relaxation",385.1km,276.3333333,NONE,"Saidpur Village, Islamabad, PK",,3.5,990,333,,,Sights & Landmarks
Historical Heritage,382.26km,272.0666667,NONE,"Safa Gold Mall, Islamabad, PK",,4,222,334,,,Shopping
Relaxation,380.88km,270.8833333,NONE,"Rose and Jasmine Garden, Islamabad, PK",,1.5,43,335,,,Nature & Parks
Relaxation,377.5km,268.1166667,NONE,"Fatima Jinnah Park, Islamabad, PK",,4.2,678,336,,,Nature & Parks
"Adventureous ,Historical Heritage",243.52km,232.4,NONE,"Rohtas Fort, Jehlum, PK",,2,789,337,,,Historic Sites
"Adventureous ,Historical Heritage",248.3km,202.0333333,NONE,"Khewra Salt Mine, Jehlum, PK",,3.2,567,338,,,Points of Interest & Landmarks
"Relaxation,Romantic",533.6km,409.0666667,NONE,"Lalazar, Kaghan Valley, PK",,3.8,245,339,,,Nature & Parks
"Adventureous ,Relaxation,Romantic",533.6km,409.0666667,NONE,"Lulusar Lake, Kaghan Valley, PK",,4.5,890,340,,,Nature & Parks
"Adventureous ,Romantic",625.38km,#VALUE!,NONE,"Saif-ul-malouk, Kaghan Valley, PK",,4.2,13,341,,,Nature & Parks
Historical Heritage,535.88km,380.0666667,NONE,"Bab-e-Khyber, Khyber Agency, PK",,1,123,342,,,Sights & Landmarks
"Adventureous ,Relaxation",#VALUE!,#VALUE!,NONE,"Hindu Kush Mountains, KPK, PK",,5,67,343,,,Nature & Parks
"Historical Heritage,Adventureous ",490.41km,349.1,NONE,"Takht-i-Bahi, Mardan, PK",,3.9,412,344,,,Sights & Landmarks
Historical Heritage,345.53km,252.25,NONE,"Head Muhammad Wala, Multan, PK",,4.8,25,345,,,Sights & Landmarks
"Historical Heritage,Relaxation",345.53km,248.8333333,NONE,"Tomb of Bahauddin Zakariya, Multan, PK",,3.5,654,346,,,Sights & Landmarks
"Relaxation,Romantic",340.16km,237.4666667,NONE,"Multan Cricket Stadium, Multan, PK",,2.9,134,347,,,Sights & Landmarks
Historical Heritage,338.99km,249.4166667,NONE,"Multan Arts Council, Multan, PK",,1.7,560,348,,,Sights & Landmarks
"Relaxation,Romantic",365.18km,258.7333333,NONE,"Cantonment Garden, Multan, PK",,5,348,349,,,Nature & Parks
Historical Heritage,339.57km,250.9833333,NONE,"Ahmad Shah Abdali's Birth Place Monument, Multan, PK",,3.7,48,350,,,Sights & Landmarks
Historical Heritage,345.11km,251.35,NONE,"Shrine Khawaja Awais Kagha, Multan, PK",,1.5,654,351,,,Sights & Landmarks
Historical Heritage,365.03km,257.9666667,NONE,"CSD Park, Multan, PK",,4.2,56,352,,,Nature & Parks
"Relaxation,Romantic",344.67km,245.5833333,NONE,"Dolat Gate, Multan, PK",,2.2,158,353,,,Sights & Landmarks
Historical Heritage,345.69km,249.4833333,NONE,"Nigar Khana, Multan, PK",,4.6,652,354,,,Sights & Landmarks
Historical Heritage,335.65km,245.9666667,NONE,"Tomb Shah Shams Sabzwari Tabrez, Multan, PK",,5,783,355,,,Sights & Landmarks
"Relaxation,Romantic",339.23km,250.9,NONE,"United Mall, Multan, PK",,4.9,482,356,,,Shopping
Historical Heritage,345.6km,249.15,NONE,"Qila Kohna Qasim Bagh Stadium, Multan, PK",,4.2,890,357,,,Sights & Landmarks
Historical Heritage,345.6km,249.15,NONE,"Ibne Qasim Cricket Stadium, Multan, PK",,1.9,656,358,,,Sights & Landmarks
Historical Heritage,344.24km,247.2333333,NONE,"Delhi Gate, Multan, PK",,4.5,350,359,,,Sights & Landmarks
Historical Heritage,341.02km,252.3166667,NONE,"Tomb Shah Ali Akbar, Multan, PK",,2,700,360,,,Sights & Landmarks
"Relaxation,Romantic",368.59km,254.1333333,NONE,"Chenab West Bank Park, Multan, PK",,3.2,25,361,,,Nature & Parks
Historical Heritage,338.09km,233.3666667,NONE,"Char Minar Masjid, Multan, PK",,5,345,362,,,Sights & Landmarks
Historical Heritage,337.67km,247.9,NONE,"Ghanta Ghar, Multan, PK",,4.8,120,363,,,Sights & Landmarks
Historical Heritage,338.36km,250.55,NONE,"Shrine of Mai Maharban, Multan, PK",,1.5,456,364,,,Sights & Landmarks
Historical Heritage,338.09km,233.3666667,NONE,"Damdama, Multan, PK",,3.5,990,365,,,Sights & Landmarks
"Relaxation,Romantic",364.66km,258.1833333,NONE,"Yadgar e Shuhada Park, Multan, PK",,4,222,366,,,Nature & Parks
"Relaxation,Romantic",344.93km,249.95,NONE,"Haram Gate, Multan, PK",,1.5,43,367,,,Sights & Landmarks
"Historical Heritage,Relaxation",336.23km,246.25,NONE,"Shah Shams Park, Multan, PK",,4.2,678,368,,,Nature & Parks
Historical Heritage,343.52km,259.0833333,NONE,"Chaman Zar Askari Lake Park, Multan, PK",,2,789,369,,,Water & Amusement Parks
Historical Heritage,345.53km,248.8333333,NONE,"Mausoleum of Bibi Pak Daman, Multan, PK",,3.2,567,370,,,Sights & Landmarks
Historical Heritage,338.12km,249.3333333,NONE,"Shrine of Shah Yusuf Gardezi, Multan, PK",,3.8,245,371,,,Sights & Landmarks
Historical Heritage,337.82km,248.4833333,NONE,"Tomb Shah Rukne Alam, Multan, PK",,4.5,890,372,,,Sights & Landmarks
Historical Heritage,365.04km,258.6,NONE,"Multan Garrison Mess, Multan, PK",,4.2,13,373,,,Sights & Landmarks
Historical Heritage,337.75km,248.2333333,NONE,"Fort Kohna, Multan, PK",,1,123,374,,,Sights & Landmarks
"Historical Heritage,Relaxation",437.2km,351.25,NONE,"Kashmir Point, Muree, PK",,5,67,375,,,Sights & Landmarks
Historical Heritage,446.47km,357.7166667,NONE,"Patriata Chair lift, Muree, PK",,3.9,412,376,,,Sights & Landmarks
"Historical Heritage,Relaxation",437.89km,351.1166667,NONE,"GPO, Muree, PK",,4.8,25,377,,,"Sights & Landmarks, Historic"
"Relaxation,Romantic",625.38km,#VALUE!,NONE,"Saif-ul-Muluk Lake, Naran, PK",,3.5,654,378,,,Nature & Parks
"Historical Heritage,Relaxation,Romantic",#VALUE!,#VALUE!,NONE,"Lulusar-Dudipatsar National Park, Naran, PK",,2.9,134,379,,,Nature & Parks
Historical Heritage,135.1km,157.9833333,NONE,"Kartarpur Sahib Corridor, Narowal, PK",,1.7,560,380,,,Points of Interest & Landmarks
Historical Heritage,512.97km,347.9833333,NONE,"Chowk Yadgar, Peshawar, PK",,5,348,381,,,Sights & Landmarks
Historical Heritage,514.24km,348.8833333,NONE,"Peshawar Gandhara Museum, Peshawar, PK",,3.7,48,382,,,Museums
Historical Heritage,564.9km,415.9333333,NONE,"Khyber Pass, Peshawar, PK",,1.5,654,383,,,Sights & Landmarks
Historical Heritage,523.45km,369.25,NONE,"Islamia College, Peshawar, PK",,4.2,56,384,,,Sights & Landmarks
Historical Heritage,512.67km,349.0333333,NONE,"Sethi House Museum, Peshawar, PK",,2.2,158,385,,,Museums
"Adventureous ,Relaxation,Romantic",512.42km,348.35,NONE,"Mughal -Caravanserai Gor Khatri, Peshawar, PK",,4.6,652,386,,,Sights & Landmarks
"Relaxation,Romantic",541.65km,387.9666667,NONE,"Warsak Dam, Peshawar, PK",,5,783,387,,,Nature & Parks
Historical Heritage,513.31km,348.3166667,NONE,"Mahabat Khan's Mosque, Peshawar, PK",,4.9,482,388,,,Sights & Landmarks
Historical Heritage,536.95km,382.9,NONE,"Jamrud Fort, Peshawar, PK",,4.2,890,389,,,Sights & Landmarks
Historical Heritage,512.66km,348.9833333,NONE,"Sethi Street, Peshawar, PK",,1.9,656,390,,,Sights & Landmarks
Historical Heritage,514.97km,351.2166667,NONE,"Governor's House, Peshawar, PK",,4.5,350,391,,,Sights & Landmarks
Historical Heritage,530.17km,369.0333333,NONE,"Tatara Park, Peshawar, PK",,2,700,392,,,Nature & Parks
Historical Heritage,522.82km,362.1166667,NONE,"Kohat Pass : Tribal Gun Factories, Peshawar, PK",,3.2,25,393,,,Sights & Landmarks
Historical Heritage,514.05km,350.4666667,NONE,"Qissa Khawani Bazaar, Peshawar, PK",,5,345,394,,,Shopping
Historical Heritage,513.06km,346.5666667,NONE,"Fort Bala Hisar, Peshawar, PK",,4.8,120,395,,,Sights & Landmarks
Historical Heritage,513.1km,349.7333333,NONE,"Cunningham Clock Tower, Peshawar, PK",,1.5,456,396,,,Sights & Landmarks
Relaxation,513.59km,347.6333333,NONE,"Shahi Bagh Gardens, Peshawar, PK",,3.5,990,397,,,Nature & Parks
Relaxation,524.3km,371.9333333,NONE,"Peshawar Zoo, Peshawar, PK",,4,222,398,,,Outdoor Activities
"Relaxation,Romantic",515.34km,354.3833333,NONE,"Wazir Bagh Gardens, Peshawar, PK",,1.5,43,399,,,Nature & Parks
Relaxation,516.14km,354.4,NONE,"Khalid Bin Waled Park, Peshawar, PK",,4.2,678,400,,,Nature & Parks
Historical Heritage,494.42km,334.6666667,NONE,"Pushkalavati Museum, Peshawar, PK",,2,789,401,,,Museums
Historical Heritage,517.46km,359.8833333,NONE,"Buddhist Stupa (Sahji Ki Dheri), Peshawar, PK",,3.2,567,402,,,Sights & Landmarks
Historical Heritage,513.58km,350.9,NONE,"St John's Church, Peshawar, PK",,3.8,245,403,,,Sights & Landmarks
"Historical Heritage,Adventureous ",492.81km,324.7166667,NONE,"Mughal Bridge, Peshawar, PK",,4.5,890,404,,,Sights & Landmarks
Historical Heritage,515.33km,352.5,NONE,"Ander Sher Bazaar, Peshawar, PK",,4.2,13,405,,,Shopping
Historical Heritage,570.17km,424.1333333,NONE,"Sphola Stupa, Peshawar, PK",,1,123,406,,,Sights & Landmarks
Historical Heritage,514.98km,352.85,NONE,"Durrani Graveyard, Peshawar, PK",,5,67,407,,,Sights & Landmarks
Historical Heritage,513.06km,346.5666667,NONE,"Balahisar Attock Fort, Peshawar, PK",,3.9,412,408,,,Sights & Landmarks
Historical Heritage,131.36km,123.1,NONE,"Iqbal Manzil, Sialkot, PK",,4.8,25,409,,,Historic Sites
Historical Heritage,131.39km,124,NONE,"Shawala Teja Singh Temple, Sialkot, PK",,3.5,654,410,,,Temple
Historical Heritage,140.13km,129.4333333,NONE,"Clock Tower, Sialkot, PK",,2.9,134,411,,,Points of Interest & Landmarks
"Historical Heritage,Adventureous ",131.72km,125.55,NONE,"Sialkot Fort, Sialkot, PK",,1.7,560,412,,,Historic Sites
Historical Heritage,661.64km,#VALUE!,NONE,"Kalam Bazaar, Swat, PK",,5,348,413,,,Shopping
Historical Heritage,378.33km,276.8,NONE,"Taxila Museum, Taxila, PK",,3.7,48,414,,,Museums
Historical Heritage,385.28km,293.4833333,NONE,"Julian Buddhist Monastery, Taxila, PK",,1.5,654,415,,,Sights & Landmarks
Historical Heritage,385.28km,293.4833333,NONE,"Taxila Ruins, Taxila, PK",,4.2,56,416,,,Sights & Landmarks
Historical Heritage,380.61km,281.2,NONE,"Dharmarajika Stupa, Taxila, PK",,2.2,158,417,,,Sights & Landmarks
Historical Heritage,380.19km,282.4333333,NONE,"Sirkap, Taxila, PK",,4.6,652,418,,,Sights & Landmarks
"Adventureous ,Historical Heritage",380.24km,281,NONE,"Giri Fort, Taxila, PK",,5,783,419,,,Sights & Landmarks
"Historical Heritage,Adventureous ",720.12km,#VALUE!,NONE,"Kumrat Valley Upper Dir Kohistan, Upper Dir, PK",,4.9,482,420,,,Sights & Landmarks
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
